President,Start Year,Start GDP,End Year,End GDP,Start Unemployment Rate,End Unemployment Rate
Harry S. Truman,1945,,1953,,,
Dwight D. Eisenhower,1953,,1961,23909289978.5861,,
John F. Kennedy,1961,23909289978.5861,1963,9136689514.09479,,
Lyndon B. Johnson,1963,9136689514.09479,1969,23909289978.5861,,
Richard Nixon,1969,23909289978.5861,1974,75931656814.657,,8.4
Gerald Ford,1974,75931656814.657,1977,3012914131.16971,8.4,8.4
Jimmy Carter,1977,3012914131.16971,1981,3012914131.16971,8.4,8.4
Ronald Reagan,1981,3012914131.16971,1989,3012914131.16971,8.4,3
George H. W. Bush,1989,3012914131.16971,1993,13039352743.9616,3,8.9
Bill Clinton,1993,13039352743.9616,2001,3012914131.16971,8.9,8.9
George W. Bush,2001,3012914131.16971,2009,3012914131.16971,8.9,8.9
Barack Obama,2009,3012914131.16971,2017,23909289978.5861,8.9,16
Donald Trump,2017,23909289978.5861,2021,14583135237,16,30
Phil Baker,2018,238308749,2024,,5.6,6.1
Joe Biden,2021,14583135237,2024,,30,6.1
